Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,British Virgin Islands,Import,  All Products,Import (US$ Thousand),2432.826,3370.359,14477.146,15330.388,12002.763,7116.904,17321.104,7946.401,23389.444,30942.691,11866.664,41698.169,36579.727,18149.488,34041.439,27532.679,43695.097,11183.411,6264.399,19216.519,6703.542,13451.702,6361.995,11046.251,16795.736,31385.517,6954.284,19812.907
United States,Brunei,Import,  All Products,Import (US$ Thousand),28546.408,30340.184,31902.446,47225.704,40132.84,50539.128,58036.548,224049.376,417103.264,383753.149,398856.865,305962.941,446178.42,428462.294,589610.785,574926.455,418552.937,117080.94,42671.012,13270.562,25882.135,86299.78,17184.938,32882.98,20096.401,13988.319,23417.719,102041.847
United States,Bulgaria,Import,  All Products,Import (US$ Thousand),60876.096,83609.344,171705.68,239203.68,200495.712,136388.144,184925.792,232249.44,213975.584,235214.396,336896.257,365876.742,477842.24,545532.276,493361.538,495181.97,453059.737,416926.363,240871.455,273615.252,433613.082,509430.226,513729.166,632197.033,626386.029,628785.081,685301.568,1018398.287
United States,Burkina Faso,Import,  All Products,Import (US$ Thousand),585.547,186.506,461.09,494.706,405.003,4108.49,1033.468,622.381,2937.182,2472.042,5012.746,2936.925,950.995,611.538,2162.331,1055.46,1517.733,634.359,2233.077,2411.557,3654.053,2303.644,6108.975,6294.335,3643.774,5131.904,5163.661,5206.121
United States,Burundi,Import,  All Products,Import (US$ Thousand),9027.578,9075.421,2857.56,7866.984,21346.828,2118.79,14317.633,8003.285,6524.537,7994.937,2788.774,789.925,6552.381,3284.3,4807.559,2003.961,1180.356,2998.07,4235.967,3459.193,9815.249,4809.555,4297.467,4483.66,8682.662,6789.452,9119.187,14182.596
United States,Cambodia,Import,  All Products,Import (US$ Thousand),,84.826,729.864,1203.616,5572.817,4509.285,109569.392,387768.96,634994.112,825615.89,962553.994,1145849.413,1335159.986,1591369.976,1874988.274,2328266.2,2599410.829,2545828.708,2004671.02,2402003.614,2807102.439,2691552.267,2771148.511,2951402.127,3145595.812,2916161.857,3173230.138,3965176.961
United States,Cameroon,Import,  All Products,Import (US$ Thousand),139580.704,90182.416,110751.504,60977.916,52705.48,70575.824,63694.54,59750.968,83798.176,155116.824,101619.921,183518.452,225913.709,335295.681,171587.653,292225.639,314736.396,641908.707,267655.47,310205.667,343085.075,308251.59,366962.437,199551.639,142887.504,161059.422,125879.187,229265.683
United States,Canada,Import,  All Products,Import (US$ Thousand),93585006.59,101241397.2,113580384.3,131916202,148277887,159691178,171330617.3,177916428.3,201433186.3,230816137.7,216234127.2,212398395.1,225035348.7,260161285.5,294382272.2,307723064.2,317481896.7,339074076.2,227577354.2,280426517.8,317921220,323026401.8,331016249.3,354171825.4,301942705.1,282919218.1,305647659.4,325683550.9
United States,Cape Verde,Import,  All Products,Import (US$ Thousand),5.472,57.444,33.652,127.003,274.194,395.5,514.538,194.772,117.21,4213.567,1495.949,1968.885,5958.602,4007.31,2808.754,1001.604,2243.713,462.84,837.501,1482.02,1555.724,3966.021,2356.117,1809.236,2285.327,4203.689,3632.339,3709.164
United States,Cayman Islands,Import,  All Products,Import (US$ Thousand),18787.432,11234.208,35630.144,53403.324,18790.456,17657.58,20330.104,18608.832,10298.11,6566.598,6763.673,8982.5,12112.212,13655.919,54242.053,15641.545,22371.364,14436.526,13997.754,11444.151,19105.166,15043.511,32219.482,25266.453,98052.992,87230.651,54721.823,33074.141
United States,Central African Republic,Import,  All Products,Import (US$ Thousand),789.946,853.621,913.829,252.725,456.795,321.476,1379.009,2835.234,2935.341,2965.118,2363.674,2022.356,1983.181,8878.77,5749.907,4372.967,3027.263,9104.407,3475.778,5857.704,6107.551,4070.088,2787.401,1472.332,3167.198,1058.282,2263.408,2923.54
United States,Chad,Import,  All Products,Import (US$ Thousand),244.73,298.101,338.24,1969.761,3404.486,7460.873,3111.715,7916.984,7403.896,4555.575,5653.051,6327.473,24726.128,827894.637,1583641.379,2021271.087,2239869.249,3470794.935,2059913.482,2109848.358,3248084.576,2660336.285,2459150.663,2378793.357,1359848.905,957483.626,543115.344,494864.737
United States,Chile,Import,  All Products,Import (US$ Thousand),1522125.056,1625930.496,1692614.784,2072388.48,2196957.44,2580444.928,2626915.584,2811270.912,3287598.08,3269034.71,3495307.949,4353673.647,4326063.527,5419460.634,7444221.167,10291072.88,9783399.229,8980952.306,6620213.966,7688179.905,9735524.799,9366558.323,10384331.29,10265746.05,9577927.641,9545723.021,11295780.59,12200356.72
United States,China,Import,  All Products,Import (US$ Thousand),20276389.89,27450238.98,33673211.9,41345781.76,48505589.76,54396456.96,65811603.46,75094917.12,87775117.31,100012902.7,102267288.9,133510392.7,163313862.5,210500129,259836016.8,305778876.1,340106645.8,356304560.7,309530233.2,382964820.3,417340261.5,425557373.5,440351801.7,486296238,504028117,481310448,525764714.5,563203119.5
United States,Christmas Island,Import,  All Products,Import (US$ Thousand),380.004,257.684,271.577,584.173,144.486,262.845,707.591,337.374,104.777,395.732,185.292,664.843,381.628,603.157,451.493,484.337,4398.776,2145.368,787.937,598.592,1503.222,492.828,1037.15,2388.886,2168.379,1656.077,1340.549,936.781
United States,Cocos (Keeling) Islands,Import,  All Products,Import (US$ Thousand),6422.009,112.353,254.627,398.566,74.513,398.468,66.827,168.303,237.719,329.21,643.73,279.445,276.063,598.418,499.873,1534.099,954.798,1218.49,815.853,2256.209,1594.278,975.73,1027.873,3247.497,3875.711,2185.283,1260.673,2967.287
United States,Colombia,Import,  All Products,Import (US$ Thousand),2971260.16,3063985.92,3270283.52,3406598.656,3992014.08,4524999.68,5033779.712,4939560.448,6609788.416,6968000.685,5710262.82,5933425.105,6789572.262,7731397.453,9428654.602,9826571.592,10033876.76,13832363.81,11875343.18,16229639.26,23720046.99,24621661.57,21626202.36,18858160.8,14694420.72,14435553.85,14126818.93,14309499.52
United States,Comoros,Import,  All Products,Import (US$ Thousand),9707.533,10531.774,9720.956,6227.872,2242.39,6376.341,2650.024,846.68,1789.31,3513.13,10568.08,5417.726,4110.023,16599.202,1489.319,1601.01,562.297,971.234,1143.331,1755.335,1825.061,1959.039,2843.049,2106.284,1232.469,2685.056,5092.821,3037.612
United States,"Congo, Dem. Rep.",Import,  All Products,Import (US$ Thousand),308357.536,259123.184,251017.008,197899.984,273437.696,259697.216,294884.448,180487.472,237679.088,214824.767,154043.496,211086.726,183332.617,132077.181,270960.299,86144.603,208500.868,270587.481,338952.309,546186.725,623076.678,40992.382,75559.485,157633.645,156395.183,178388.688,86173.453,50323.679
United States,"Congo, Rep.",Import,  All Products,Import (US$ Thousand),445897.12,547055.232,541384.384,434530.304,223514.544,336929.568,501770.912,336456.192,441127.264,531734.156,473768.367,191052.625,457189.305,898541.773,1694634.012,3184528.241,3182283.7,5199076.373,3188684.216,3391745.621,2458666.613,1488475.391,1166599.339,433438.018,313691.663,137544.458,134160.278,445382.565
United States,Cook Islands,Import,  All Products,Import (US$ Thousand),350.16,180.347,508.092,1903.927,1129.161,1016.101,1191.286,746.094,674.237,2312.069,505.472,1263.029,3369.411,4077.685,2189.969,2189.041,1782.605,1191.111,970.607,1656.548,777.529,1357.383,376.612,816.017,859.164,1943.016,3460.032,1054.487
United States,Costa Rica,Import,  All Products,Import (US$ Thousand),1262161.28,1541564.416,1672513.024,1775543.296,1997825.664,2121127.168,2489010.176,2927245.312,4167905.28,3538692.889,2886075.099,3339287.699,3584436.002,3504742.09,3598194.017,4083806.036,4208643.326,4189311.027,5803270.689,8933644.183,10367071.08,12046054.36,11914159.67,9765910.925,4717018.84,4574902.969,4828258.852,5147768.399
United States,Cote d'Ivoire,Import,  All Products,Import (US$ Thousand),244498.624,205892.704,199467.424,204981.68,230372.752,431226.816,313616.192,447971.232,374095.84,383949.114,333087.789,399226.637,514147.241,761751.102,1282245.475,755977.63,638701.645,1159087.663,778649.638,1215111.428,1309328.741,1099495.98,1013449.247,1235662.361,1061613.873,1200548.239,1256357.134,1291959.912
United States,Croatia,Import,  All Products,Import (US$ Thousand),,45261.804,112533.144,123956.472,99508.496,75727.104,87092.568,76206.12,115635.536,140986.392,139016.894,150272.951,186145.12,300099.115,373109.805,360812.762,341984.628,281820.27,261339.764,353278.829,458430.814,444051.93,425098.141,479010.714,591382.353,524797.023,448837.658,481041.052
United States,Cuba,Import,  All Products,Import (US$ Thousand),,,,,,,,,654.576,323.097,5.565,319.273,313.527,40.915,9.524,158.654,271.701,36.696,27.957,347.48,5.7,94.355,,,,,,1275.914
United States,Curaçao,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,560796.392,850186.173,401554.297,374720.279,339719.407,265204.827,153570.076,107228.017
United States,Cyprus,Import,  All Products,Import (US$ Thousand),13647.403,11716.993,17036.454,19576.444,14106.064,18533.896,17546.424,34834.304,33849.752,23414.835,35118.754,27102.121,26056.401,27342.461,32113.522,54832.516,17812.417,14869.042,53547.497,11713.214,21995.207,29358.126,43516.731,65590.097,33488.42,54842.053,49140.241,69997.652
